line	mccatmus	tridis	transkribus	correct
L001	yonme Arsigatis dl darlone fp^re de badinole.	oane Arslgatio d darhono se de badinolo		Gioane Montegabio[?] del darlono[?] padre[?] de badinolo[?]
L002	Catharina moglie d'dille Gionne.	Calsarina moqued diclo sioane		Catharina moglie del ditto Gioane
L003	Margavite fg. Ve dint s ala ali 16. 3 robro. 174	MMaraarita Rgesta  dito Cata ai ib. d pt . 1I		Margarita fig.a del ditto, nata ali 16 d'8bre 1578
L004	Andra d'Oadmolo p^t ol p. giranc.	Endera dbadimolo er Al R. quane .		Andrea di Cadimolo[?] [...] del q. Gioane
L005	Marguila molie d' ris andrra.	Marqu rita nogied ito andra		Margarita moglie del ditto Andrea
L006	pnt : fra. drl sopra seritte gionne.	Ent fra del cosra seicto groane		Ant.o fra[tello] del soprascritto Gioane
L007	De			[skip]
L008	Aodreo H^e dl coproserite givane.	indra fro de copra serito groane		Andrea fig.o del soprascritto Gioane
L009	suiste firo mentigalie dite cale. dl dn lors pre depaulu	Gristifiro srnh gatio ditto Cato . dl darlono fre d facrln		Cristoforo Montegabio detto [...] del darlono[?], padre d'famiglia
L010	madalonn mo glie dl di ppopro.	uadaina moque El dill prsofiro.		Madalena moglie del ditto [Cristoforo]
L011	10. Maria chig. &t ditt Guisopre.	o Mariachin  dicto Cilotre		Gio: Maria fig.a del ditto Cristoforo
L012	Stifnno frq. del ditt conshsrs.	Efano fig del dicto edristefiro		Stefano fig.o del ditto Cristoforo
L013	Madalona fig. o2 dits. sata ale o Vobre 462	luadalena figue I lito . Jata ali ro. tobre . IEr		Madalena fig.a del ditto, nata ali 20 ottobre [15]62
L014	Mar parila fig. dl dil. falaale d'gmnars 477	lary arita figeta el dito . Pata ali be genaro sz		Margarita fig.a del ditto, nata ali 6 gennaro 1577[?]
L015	fran. Anhgnie cfe qlle dl darlone.	Fran . de nlgalio de uelli dl darlono.		Fran.co [...] de quelli del darlono
L016	catJurina moglie dl ditr	Cat Jarina moghe d ditt		Catharina moglie del ditto
L017	Amnbrotie fiq. Il ditte Has. ale &. guuigne n6z.	Hmbrolio fig . I ditt Hat . alis quigno nbz		Ambrosio fig.o del ditto, nato ali 8 giugno [15]63
L018	qionne fige del ditt tac. ale 45.8 octBisbe.	hioane figtao del det Fato ali  doctis68		Gioane fig.o del ditto, nato ali 15 d'8bre 1563
L019	pom	Vo		[skip]
L020	VMariaF.	 Marra		[skip]
L021	9. Iefilto. Hat Le 30. aprile 1575.	e  dicto . Pato di so . amile 1573		Thomaso[?] fig.o del ditto, nato di 30 aprile 1573
L022	n. 3l dit fats.dli 78. d'aprile 1126.	 dicto Rato . li 28. Pasuile 1126		Gio: Maria fig.a del ditto, nata li 28 d'aprile 1576
L023	Arglo.3	r		[skip]
L024	Tl ditt Kabs al. 26.3' jrme 1579	E ditto Nato ali 2b. d genarosy		Gio: Angelo fig.o del ditto, nato ali 26 d'gennaro 1579
