line	mccatmus	tridis	transkribus	correct
L001	sa gpliandola, ce vogli farsi postrare la fendel	Cuselcandola, le aogli fart nostrare b fonde		sa gpliandola, ce vogli farsi postrare la fendel
L002	et &aesa delle cavala, et geende beanace	E nota dello caaata osecendo lalana		et &aesa delle cavala, et geende beanace
L003	le vosls agranare, effirele baerte de lbussa-	lo aosle ascranere , effirele EMerte deltusta		le vosls agranare, effirele baerte de lbussa-
L004	verga ademoile ce le scais la sii joleuate de que	uerga a de myyta En scadla sij soleuata de u		verga ademoile ce le scais la sii joleuate de que
L005	greuesse, Re centra qni qugtine Me Capelars a	Ereuehie Re centra yni yastone cho Capelaro		greuesse, Re centra qni qugtine Me Capelars a
L006	Mite et	etect		Mite et
L007	decetate fuevonte roi nenob paeces prout enp	deretata jueronta hoi nemad preçes prout at		decetate fuevonte roi nenob paeces prout enp
L008	Addeans feraner d'Appans, procasi de' hatiere :t	becario teraneo d Exrano , yrocuri di hauere		Addeans feraner d'Appans, procasi de' hatiere :t
L009	testamento dquanto si espine, e fatore etepprire	testamento d quanto . si espone , e Faleia cheoue		testamento dquanto si espine, e fatore etepprire
L010	pra mence dellegatanon d M tang lis Amle ibiq	sera mente del legataio , Eill lano . is dunte ibia		pra mence dellegatanon d M tang lis Amle ibiq
L011	sezratre Ibestns Aiecardu Prome. Gentir	sizaata betas Riccarda Roie entis		sezratre Ibestns Aiecardu Prome. Gentir
L012	recutene cyamafat he cret nocatus fait heur	reculone coza nuesa fal hecrely nocatas fuet her		recutene cyamafat he cret nocatus fait heur
L013	ple lexander franeus hieularis Epstus la neda	pli rexander francus litulais pstas a ne lla		ple lexander franeus hieularis Epstus la neda
L014	J ste pran loci hérerane qu' ram malle n di	Seplan toigerenene gu dram malst		J ste pran loci hérerane qu' ram malle n di
L015	fater Caesare satnade Prasposite Colle gcatre s. Neph	alrosasare Jatuada Pr posilo ollegrata s. 1		fater Caesare satnade Prasposite Colle gcatre s. Neph
L016	Rurgit seplan? Cap. plers Biocreses pedi larent	hursi teplan , a p plevi Piocasit Medoanen		Rurgit seplan? Cap. plers Biocreses pedi larent
L017	2			2
L018	recne iabort plebe p ea 4s. feden	rechio andsta ilebe . S. reder		recne iabort plebe p ea 4s. feden
L019	Cartnnbs biervene rcrien Redolane Micare	ardenabs hernorian frerieri Redolan . Ticar		Cartnnbs biervene rcrien Redolane Micare
L020	forned, et ez lac parte he lezales a queadte	fornaed e alal carte ralegalo , a quo adt		forned, et ez lac parte he lezales a queadte
