line	mccatmus	tridis	transkribus	correct
L001	selli	l		selli
L002	2			2
L003	Delle Lr.	E		Delle Lr.
L004	habitane	hebitano		habitane
L005	Lagme			Lagme
L006	tabs ierici Aisar L ee danm	Clee ienanae L4Tn		tabs ierici Aisar L ee danm
L007	ateline mer moylie Lobrdanme	Thne gr neaan		ateline mer moylie Lobrdanme
L008	hane cschins tren fisse d anrer	Lmshia hertgt Lane		hane cschins tren fisse d anrer
L009	padalera mua halt d an mi	bnnanm		padalera mua halt d an mi
L010	Angetina qs ditre des delo Toddurje	Engemtede Dele id		Angetina qs ditre des delo Toddurje
L011	To. Lecho pg^le de la gudella d'enmie	Co SechenndSa endeta 2		To. Lecho pg^le de la gudella d'enmie
L012	ponanine qun mouie d'ansa	onamar dun gnogie dan		ponanine qun mouie d'ansa
L013	Besorine e fegt della di men	Deromro Juot iadinen		Besorine e fegt della di men
L014	1.			1.
L015	retspors lige della jodetre Jedquadarme	ristoro tiedela sodetta Jedouadaan		retspors lige della jodetre Jedquadarme
L016	Holla Ytessa cas habilance	lella eslesra caza nabilano		Holla Ytessa cas habilance
L017	tordreia fandonr d'ela d'anni	Endreca sandono dela dani		tordreia fandonr d'ela d'anni
L018	Manii mue morlie d'ea d'arni	laña sua moglie leta darni		Manii mue morlie d'ea d'arni
L019	calalina gur Cizs L'ela Lanm	Catalina sua tig deta danm		calalina gur Cizs L'ela Lanm
L020	Angeha mr fig^e deta darni	engeta matig deta darmi		Angeha mr fig^e deta darni
L021	faivme Gues (pegmo d'etrduini	Jumo juo ugmoaelLni		faivme Gues (pegmo d'etrduini
L022	10	0		10
L023	pouan na grl forella d'etadarm	rouanmna gul sorela d otadari		pouan na grl forella d'etadarm
L024	30			30
L025	2			2
L026	15	(		15
L027	1			1
L028	50	30		50
L029	E	5		E
L030	2.	2		2.
L031	1e	1		1e
L032	18	15		18
L033	Nella caza det fif Ambroge pesiont	lella caza del sig embroçio esion		Nella caza det fif Ambroge pesiont
L034	à habilans Che mhageritte	roitano l inpragent		à habilans Che mhageritte
L035	marile famp Mapare &da daan	nnaylo Janin Masaro Eda dann		marile famp Mapare &da daan
L036	&+	5		&+
L037	qr. Mara mo fge L'ota d'arin 70	qio Mana uo i Lsta darm70		qr. Mara mo fge L'ota d'arin 70
L038	Midalera pua ecqle d'eta cianni	idalena qua aoquedetanani		Midalera pua ecqle d'eta cianni
L039	9			9
L040	orrina pesa del gudete qu. Maria d'arn 13	erina Fyl el sudet Gid . Maria dari		orrina pesa del gudete qu. Maria d'arn 13
