line	v2	mccatmus	tridis	reconciled
L001	Aistro Gio: Angalo Bacano dlarthano pare d' favnlia	Vistro quio! Ampelo vaccaue dl ciccins pre d'hmliai d	Estro his : Anplo vaclano dl ciecimo re d familia	Mastro Gio: Angelo Vaccano[?] dl arthano[?], padre d'famiglia
L002	Catharina moglie del ditto	catsamna moflie dl ditte	catdarma mogue dl dito	Catharina moglie del ditto
L003	Marganla fig.a del ditto	Marganta frg^t Vditt.	Marganta fis itto.	Margarita fig.a del ditto
L004	Mimonimo fig. del ditto, nato alia d'8bre 1562	sfisronime fig- Il ditte Kato. ali x. d.5.467	fietorimo fiy . dl dicto . Pato . ali x.  ho . 16	[Girolamo?] fig.o del ditto, nato ali [?] d'8bre 1562
L005	Gio: Pidro fig.a del ditto, nato ali 28 d'luio 15560	J0r Irdro. fig^t 3l dibe. Kari. dli 28. 3' Luis. 460+	Jo. Ladro . fig . dl dicto . Pato . ali & s . I laio . 1168	Gio: Pietro fig.o del ditto, nato ali 28 d'luglio 1560[?]
L006	Fartolamno fig.o del ditto, nato ali 2 d'aaoto	parto lumre. fig. dl dist fatr. ali 7. d'agolre	Garto lanco fiquetd dl ditto . ato . ai -. dagoslo	Bartolomeo fig.o del ditto, nato ali 2 d'agosto [...]
L007	G	1		[skip]
L008	Gura fig.a del ditto, nata ali 22 Marzo 157	clara fig. del ditt Hata ali 22. var7.1577	lard fi del ditto Nata ali 22. ar7o . 117	Clara[?] fig.a del ditto, nata ali 22 marzo 157[?]
L009	Gio: Aatta fig.o del ditto, nato, alo i Marlo 1570	Jo. Fatta frq. e dite fit.alit ear se 129	Jo Batta fig. Ditto £26 . alii2. 1ar )o 1129	Gio: Batta fig.o del ditto, nato ali [?] marzo 1570
L010	Gio: Angelo delli Grorfo Bitto il Biello pade d'famarleae	Jor Angerle d'ili grossy citre il biebe. pre d'haimlis	o. Engrlo dlli gross ditto il biello . Jued fimlia	Gio: Angelo delli Grossi[?] ditto il biello[?], padre d'famiglia
L011	Aansina moglie del dittto	H ersina moglie dl d'ilz.	orsina mogis dl dite.	Ursina moglie del ditto
L012	Lucia fig.. del del	lucia f. dit du	lulia .2	Lucia fig.a del [ditto]
L013	Marmardmo d'getli del sacia se d'famolira	prornardime d'ylh d'l vacix pre d'aplere	Rernardimo Ea de vacia med fensti	Bernardino d'quelli del [Vaccano?], padre d'famiglia
L014	Ansina mo glie del ditto	OrJina mo qlue d diste	Orzina nmo que d ditt	Ursina moglie del ditto
L015	Gi	2		[skip]
L016	G	D		[skip]
L017	Gioano fig.o del ditto, nato ali 15 gebne 1569	Guoane Li q^e dl dik. &a l. ali 11. 7o. 163.	noaue fe  d ditt . Nabe . Ali 1s. prd . 116z	Gioane fig.o del ditto, nato ali 15 febraro 1569
L018	Tatto	Gatt	Hart	[skip]
L019	Gio: Pat.	J0: Sad	Jo: 22	Gio: Pat[...]
L020	Giig.a del ditto, nato ali 15, Eoro 1 1563	C7^e 17 dit Nabe a li 4. Abr0+. 1161.	Ed ditt . Pato ala n. edo . 1165	[...] fig.a del ditto, nato ali 15 [...] 1563
L021	Gio fig.o del ditto, Natali 7 Maro 1563	fej^te Il dit. Il abeali =L. Marjo. 1164.	Fii. 1 Att. Nabali 7. Mar/o . 168	Gio: [...] fig.o del ditto, Natali 7 marzo 1563
L022	Monetta fig.a del ditto, nata ali 3i luio 1576	pronceta cfig. dl ditte fratu ali Ji luis. 1176 -	Ronettachigea dl ditt Pata dli Si uno . 176	Bonetta[?] fig.a del ditto, nata ali 31 luglio 1576
L023	Gio.: P	1v: E2.	v:	[skip]
L024	Grlo fig.a del ditto, nato ali 8 pon 70	prlo fig^t d dilt Nats al & apni-19.	erlo. Figa de ditho . Tato ali8 apn. 79	[...]rlo fig.a del ditto, nato ali 8 [...] 70
