page_id,photo_id,side,register,cropped,src,kept_pct
p001,p001,single,Stato delle anime di Turate,processed/cropped/turate/p001.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 1.jpeg,33.6
p002a,p002,a,Stato delle anime di Turate,processed/cropped/turate/p002a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 10.jpeg,47.0
p002b,p002,b,Stato delle anime di Turate,processed/cropped/turate/p002b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 10.jpeg,34.1
p003a,p003,a,Stato delle anime di Turate,processed/cropped/turate/p003a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 11.jpeg,35.7
p003b,p003,b,Stato delle anime di Turate,processed/cropped/turate/p003b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 11.jpeg,37.8
p004a,p004,a,Stato delle anime di Turate,processed/cropped/turate/p004a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 12.jpeg,34.0
p004b,p004,b,Stato delle anime di Turate,processed/cropped/turate/p004b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 12.jpeg,28.6
p005a,p005,a,Stato delle anime di Turate,processed/cropped/turate/p005a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 13.jpeg,33.2
p005b,p005,b,Stato delle anime di Turate,processed/cropped/turate/p005b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 13.jpeg,28.7
p006a,p006,a,Stato delle anime di Turate,processed/cropped/turate/p006a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 14.jpeg,37.3
p006b,p006,b,Stato delle anime di Turate,processed/cropped/turate/p006b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 14.jpeg,34.2
p007a,p007,a,Stato delle anime di Turate,processed/cropped/turate/p007a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 15.jpeg,32.3
p007b,p007,b,Stato delle anime di Turate,processed/cropped/turate/p007b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 15.jpeg,24.6
p008a,p008,a,Stato delle anime di Turate,processed/cropped/turate/p008a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 16.jpeg,35.8
p008b,p008,b,Stato delle anime di Turate,processed/cropped/turate/p008b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 16.jpeg,36.0
p009a,p009,a,Stato delle anime di Turate,processed/cropped/turate/p009a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 17.jpeg,36.1
p009b,p009,b,Stato delle anime di Turate,processed/cropped/turate/p009b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 17.jpeg,34.3
p010a,p010,a,Stato delle anime di Turate,processed/cropped/turate/p010a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 2.jpeg,34.6
p010b,p010,b,Stato delle anime di Turate,processed/cropped/turate/p010b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 2.jpeg,31.1
p011a,p011,a,Stato delle anime di Turate,processed/cropped/turate/p011a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 20.jpeg,34.6
p011b,p011,b,Stato delle anime di Turate,processed/cropped/turate/p011b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 20.jpeg,29.2
p012a,p012,a,Stato delle anime di Turate,processed/cropped/turate/p012a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 21.jpeg,38.7
p012b,p012,b,Stato delle anime di Turate,processed/cropped/turate/p012b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 21.jpeg,35.2
p013a,p013,a,Stato delle anime di Turate,processed/cropped/turate/p013a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 22.jpeg,34.6
p013b,p013,b,Stato delle anime di Turate,processed/cropped/turate/p013b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 22.jpeg,33.1
p014a,p014,a,Stato delle anime di Turate,processed/cropped/turate/p014a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 23.jpeg,28.4
p014b,p014,b,Stato delle anime di Turate,processed/cropped/turate/p014b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 23.jpeg,27.0
p015a,p015,a,Stato delle anime di Turate,processed/cropped/turate/p015a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 24.jpeg,29.5
p015b,p015,b,Stato delle anime di Turate,processed/cropped/turate/p015b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 24.jpeg,33.0
p016a,p016,a,Stato delle anime di Turate,processed/cropped/turate/p016a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 25.jpeg,39.2
p016b,p016,b,Stato delle anime di Turate,processed/cropped/turate/p016b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 25.jpeg,24.4
p017,p017,single,Stato delle anime di Turate,processed/cropped/turate/p017.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 26.jpeg,28.8
p018a,p018,a,Stato delle anime di Turate,processed/cropped/turate/p018a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 3.jpeg,31.1
p018b,p018,b,Stato delle anime di Turate,processed/cropped/turate/p018b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 3.jpeg,29.2
p019a,p019,a,Stato delle anime di Turate,processed/cropped/turate/p019a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 4.jpeg,35.9
p019b,p019,b,Stato delle anime di Turate,processed/cropped/turate/p019b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 4.jpeg,28.9
p020a,p020,a,Stato delle anime di Turate,processed/cropped/turate/p020a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 5.jpeg,35.1
p020b,p020,b,Stato delle anime di Turate,processed/cropped/turate/p020b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 5.jpeg,29.1
p021a,p021,a,Stato delle anime di Turate,processed/cropped/turate/p021a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 6.jpeg,33.8
p021b,p021,b,Stato delle anime di Turate,processed/cropped/turate/p021b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 6.jpeg,34.9
p022a,p022,a,Stato delle anime di Turate,processed/cropped/turate/p022a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 7.jpeg,36.5
p022b,p022,b,Stato delle anime di Turate,processed/cropped/turate/p022b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 7.jpeg,37.2
p023a,p023,a,Stato delle anime di Turate,processed/cropped/turate/p023a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 8.jpeg,42.7
p023b,p023,b,Stato delle anime di Turate,processed/cropped/turate/p023b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 8.jpeg,35.2
p024a,p024,a,Stato delle anime di Turate,processed/cropped/turate/p024a.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 9.jpeg,29.2
p024b,p024,b,Stato delle anime di Turate,processed/cropped/turate/p024b.jpg,raw/Archivio diocesano/Stato delle anime di Turate/stato delle anime Turate 1679 - pagina 9.jpeg,32.8
p025,p025,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p025.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101428.jpg,89.7
p026,p026,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p026.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101433.jpg,88.1
p027,p027,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p027.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101448.jpg,85.3
p028,p028,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p028.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101456.jpg,85.1
p029,p029,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p029.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101508.jpg,100.0
p030,p030,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p030.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101512.jpg,80.3
p031,p031,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p031.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101521.jpg,86.4
p032,p032,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p032.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101524.jpg,78.0
p033,p033,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p033.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101547.jpg,87.3
p034,p034,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p034.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101553.jpg,79.4
p035,p035,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p035.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101602.jpg,100.0
p036,p036,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p036.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101609.jpg,78.9
p037,p037,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p037.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101618.jpg,94.0
p038,p038,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p038.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101623.jpg,58.3
p039,p039,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p039.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101635.jpg,100.0
p040,p040,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p040.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101646.jpg,87.5
p041,p041,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p041.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101658.jpg,94.4
p042,p042,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p042.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101704.jpg,78.7
p043,p043,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p043.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101713.jpg,90.3
p044,p044,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p044.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101735.jpg,90.2
p045,p045,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p045.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101739.jpg,52.2
p046,p046,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p046.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101745.jpg,83.9
p047,p047,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p047.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101757.jpg,81.4
p048,p048,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p048.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101809.jpg,85.1
p049,p049,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p049.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101815.jpg,84.2
p050,p050,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p050.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101828.jpg,95.3
p051a,p051,a,X 18 (1570-79),processed/cropped/x-18-1570-79/p051a.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101833.jpg,53.1
p051b,p051,b,X 18 (1570-79),processed/cropped/x-18-1570-79/p051b.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101833.jpg,27.6
p052,p052,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p052.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101844.jpg,92.8
p053,p053,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p053.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101905.jpg,83.7
p054,p054,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p054.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101915.jpg,85.3
p055,p055,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p055.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101921.jpg,89.4
p056,p056,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p056.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101928.jpg,81.7
p057,p057,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p057.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101940.jpg,97.7
p058,p058,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p058.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522101946.jpg,79.0
p059,p059,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p059.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102033.jpg,83.5
p060,p060,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p060.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102044.jpg,87.0
p061,p061,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p061.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102049.jpg,67.6
p062,p062,single,X 18 (1570-79),processed/cropped/x-18-1570-79/p062.jpg,raw/Archivio diocesano/X 18 (1570-79)/IMG20260522102059.jpg,87.4
