line	mccatmus	tridis	transkribus	correct
L001	sela isbatra coge n perila	a stosa i ireuita		sela isbatra coge n perila
L002	pouamna Piedons. did, avon	ieramna doua dar ani		pouamna Piedons. did, avon
L003	dluuna eur I	ana sl		dluuna eur I
L004	de d'armi	 aam		de d'armi
L005	adec dann	adni		adec dann
L006	8			8
L007	Racçanla nes fli lea arni	Paiganta s la dadari		Racçanla nes fli lea arni
L008	Engiln sua Jg.	maua 		Engiln sua Jg.
L009	Je cose delliy.	det		Je cose delliy.
L010	Lhgnam alieie d	gnani allas 		Lhgnam alieie d
L011	Lnisin en habetinr	auiffini  paoetano		Lnisin en habetinr
L012	tite inna l'da darni	ltsnadcadaai		tite inna l'da darni
L013	ve. Maira que fole L'ele Lassn	-Pana suo rg leadan		ve. Maira que fole L'ele Lassn
L014	10			10
L015	7			7
L016	1			1
L017	20			20
L018	Maria our mofliée d ete l'arn 10	lara qa nozuel dca darn		Maria our mofliée d ete l'arn 10
L019	frarcèses figle de qu. Marnie d'et darn	mnçesco Rie di Gi Maia dota dari		frarcèses figle de qu. Marnie d'et darn
L020	Nele istisa ensa ni labile./	lela steia caga ui labita		Nele istisa ensa ni labile./
L021	2-	2		2-
L022	N'asle nrghelle piconati de da d'arm7	sela uiqnello neonati d ca dani		N'asle nrghelle piconati de da d'arm7
L023	padalera qu poyliere elête d'anmi- 50	ladalena sun nogiee lta dani5		padalera qu poyliere elête d'anmi- 50
L024	Mana feglu des Guireto l'ete d'arni "	Mana sista aes qureto Achadarn		Mana feglu des Guireto l'ete d'arni "
L025	fuclure mur fg^t Leta d'ans	ueluna sua ny Eda dmn		fuclure mur fg^t Leta d'ans
L026	2U			2U
L027	5			5
L028	Gonemia fgt de qudato dete l'armi	Donemia fii de sudato Acalamn		Gonemia fgt de qudato dete l'armi
L029	Nele estoy insa m hebila	lela istesa iasa n pebita		Nele estoy insa m hebila
L030	Aer	Eler		Aer
L031	2			2
L032	mognelle L'esa ilarm.51	maquelo a ela el anni		mognelle L'esa ilarm.51
L033	Manha qua mosiire d'e d'aroi- 50	lamia ssa mogire a ca dann 		Manha qua mosiire d'e d'aroi- 50
L034	catal i qui mei fi d ea d'ame	latalma qa mostieei acadama		catal i qui mei fi d ea d'ame
L035	J'acomo mo fiit, d'el Lansi e	acomo mo juil ada a andia		J'acomo mo fiit, d'el Lansi e
L036	Mons quelgze d'eta Le meoi	lana suabrg a eaLsi		Mons quelgze d'eta Le meoi
L037	sellee restera ensa ni habila,	Nela istena casa en rabila		sellee restera ensa ni habila,
L038	31			31
L039	ppouarina, di marta Velonn l'eta l'asoi jo	nuuanina di marta yoloua letalain go		ppouarina, di marta Velonn l'eta l'asoi jo
L040	prencesibnna qua fig	na neesiluna qua ta		prencesibnna qua fig
L041	d'eta d'anpi 17	tea a anxi1		d'eta d'anpi 17
L042	cuia pus py Et sa tamm	ua qua nlada aai		cuia pus py Et sa tamm
L043	16			16
L044	1			1
